ResponseId,EdLevelNum,BinnedSalary_$1K,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp
59457,3 Associate,80,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online forum,,13,11,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Cloud infrastructure engineer;System administrator",20 to 99 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",80000,Yearly,Bash/Shell;C++;HTML/CSS;JavaScript;LISP;Perl;PHP;Python;SQL,LISP;Python;SQL,MySQL,,AWS,AWS,React.js,,,,Docker;npm,,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Trello,Trello,Zoom,,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,Prefer not to say,Yes,Independent contributor,11
59470,4 Bachelorï¿½ï,255,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,",Books / Physical media,,,32,15,"Developer, mobile",10 to 19 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",255000,Yearly,C;C++;Lua;Objective-C;Swift,C;Lua;Objective-C;Swift,,,,,,,,,,,Xcode,Xcode,macOS,macOS,Git,Command-line;Version control hosting service web GUI,,,ClickUp;Jira Work Management;Notion,Notion,Slack;Zoom,Slack,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,17
59472,4 Bachelorï¿½ï,175,I am a developer by profession,"Employed, full-time",Fully remote,I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc)",,,14,7,"Developer, full-stack",500 to 999 employees,I have some influence,Start a free trial,United States of America,"USD	United States dollar",175000,Yearly,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,CouchDB;DynamoDB;MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,AWS;Google Cloud;Linode,AWS;Google Cloud;Linode,Express;Fastify;Node.js;React.js,Express;Fastify;Node.js;React.js;Svelte,Apache Kafka;React Native,Apache Kafka,Docker;Homebrew;Kubernetes;npm;Yarn,Docker;Homebrew;Kubernetes;npm;Yarn,Neovim;PhpStorm;Sublime Text;Vim;Visual Studio Code;Xcode,Neovim;PhpStorm;Vim;Visual Studio Code,Linux-based;macOS,macOS;Windows,Git,Command-line,,,,,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,7
59479,1 Secondary,85,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow,,10,6,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Developer, game or graphics",10 to 19 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",85000,Yearly,C;C#;C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,MongoDB;MySQL;Redis;SQLite,MongoDB;Redis,AWS;DigitalOcean;Firebase,AWS;DigitalOcean;Firebase,Express;Next.js;Node.js;React.js;Svelte,Next.js;Node.js;React.js;Svelte,Electron,.NET,Docker;Homebrew;Kubernetes;npm;Unreal Engine;Yarn,Docker;Homebrew;Kubernetes;npm;Unity 3D;Unreal Engine;Yarn,CLion;Rider;Visual Studio;Visual Studio Code;Webstorm,Vim,Windows,macOS;Windows,Git,Code editor;Command-line,,,ClickUp;Confluence,ClickUp;Confluence,Google Chat;Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",18-24 years old,Man,No,,White,None of the above,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Yes,People manager,6
59484,4 Bachelorï¿½ï,140,I am a developer by profession,"Employed, full-time",Full in-person,I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc);On the job training",,,19,14,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices;System administrator;Security professional","10,000 or more employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",140000,Yearly,Bash/Shell;C;C++;Python,Bash/Shell;C++;HTML/CSS;JavaScript;Python;Rust;SQL,,,,,,,GTK,GTK,,,Notepad++;Vim;Visual Studio Code,Notepad++;Vim;Visual Studio Code,Linux-based;Windows,Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Mattermost;Microsoft Teams,Mattermost;Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,14
59486,4 Bachelorï¿½ï,56,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Bootstrapping a business,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Written Tutorials;Stack Overflow;Written-based Online Courses,,12,4,"Developer, full-stack;Database administrator;System administrator",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",56000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL;VBA,Bash/Shell;HTML/CSS;Java;Python;SQL,MariaDB;Microsoft SQL Server;MySQL;Oracle,MariaDB,,,Flask;Node.js,Django;Flask;jQuery;Node.js,,,Homebrew;npm;Yarn,Docker;Homebrew,Eclipse;Neovim;Vim;Visual Studio Code,Eclipse;IntelliJ;Neovim;Vim,Linux-based;Windows,macOS,Git,Command-line,,,Notion;Trello,Trello,Cisco Webex Teams,Cisco Webex Teams;Slack,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not at all",25-34 years old,Woman,Yes,Bisexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,4
59489,5 Masterï¿½ï,145,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses;Interactive tutorial,Coursera;Udemy;Codecademy;Pluralsight;edX,23,20,"Developer, full-stack",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,United States of America,"USD	United States dollar",145000,Yearly,C#;Go;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript;VBA,Go;Python;Swift;TypeScript,DynamoDB;MongoDB;MySQL;PostgreSQL;SQLite,PostgreSQL,AWS,AWS,jQuery;Node.js;React.js,Node.js;Vue.js,,,Docker;Homebrew;Kubernetes;npm;Unity 3D,Docker;Homebrew;Kubernetes;npm,GoLand;IntelliJ;PyCharm;Visual Studio Code;Webstorm;Xcode,,macOS;Windows,macOS;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Confluence;Jira Work Management;Microsoft Lists;Smartsheet;Trello,Jira Work Management,Microsoft Teams;Slack;Zoom,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",45-54 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,Yes,Independent contributor,23
59494,5 Masterï¿½ï,181,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Written-based Online Courses;Interactive tutorial;Certification videos,Coursera;Udemy;Codecademy;Pluralsight;edX,13,10,"Engineer, data;Database administrator;Cloud infrastructure engineer","1,000 to 4,999 employees",I have little or no influence,Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",181000,Yearly,Bash/Shell;Go;HTML/CSS;JavaScript;Python;SQL,Bash/Shell;HTML/CSS;JavaScript;Python;SQL,MySQL;PostgreSQL;Redis,DynamoDB;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,AWS;IBM Cloud or Watson,AWS;Google Cloud;Microsoft Azure,jQuery,jQuery,NumPy;Pandas,NumPy;Pandas,Docker;Kubernetes;Terraform,Docker;Kubernetes;Terraform,Notepad++;Sublime Text;Vim;Visual Studio Code,Notepad++;Sublime Text;Vim;Visual Studio Code,Linux-based;macOS,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Jira Work Management,,Google Chat;Slack;Zoom,Slack;Zoom,Favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
59502,5 Masterï¿½ï,100,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Interactive tutorial,,47,41,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Developer, embedded applications or devices",20 to 99 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",100000,Yearly,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL,Clojure;Rust;TypeScript,PostgreSQL;SQLite,,Microsoft Azure,,Node.js,Django;Flask,,,,,Notepad++;Vim;Visual Studio;Visual Studio Code,,Windows,Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI,,,Confluence,,Microsoft Teams;Slack;Zoom,,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,Neutral,55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
59503,5 Masterï¿½ï,103,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","School (i.e., University, College, etc)",,,22,12,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Educator",20 to 99 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",103000,Yearly,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA,C#;Clojure;Go;Haskell;HTML/CSS;Java;Kotlin;Lua;Python;Rust;TypeScript,Cassandra;PostgreSQL;Redis,,AWS;Heroku;Microsoft Azure;VMware,AWS;Google Cloud,Django;React.js,Django;Node.js,.NET;Spring,,Docker;npm,Docker,NetBeans;Notepad++;Visual Studio;Visual Studio Code;Webstorm,Notepad++;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Jira Work Management;Notion,Stack Overflow for Teams,Google Chat;Microsoft Teams;Slack;Zoom,Google Chat;Slack,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Yes,People manager,12
59506,6 Doctorate,59,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Other doctoral degree (Ph.D., Ed.D., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Online books,,10,4,Academic researcher,I donï¿½ï¿½ï¿½,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",59548,Yearly,Bash/Shell;Groovy;HTML/CSS;PHP;R,Bash/Shell;Groovy;Python;R,MySQL,MySQL;PostgreSQL,Managed Hosting,Managed Hosting,,,Tidyverse,Tidyverse,,,Notepad++;RStudio;Vim,Notepad++;RStudio;Vim,Linux-based;Windows;Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,No,,
59507,4 Bachelorï¿½ï,115,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos,,9,5,"Developer, embedded applications or devices",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",115000,Yearly,Bash/Shell;C;Python;SQL,Rust,SQLite,,,,Django;Flask,,,,,,Sublime Text,,,Linux-based,Git,Command-line,,,,,Zoom,,Very favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,"Man;Non-binary, genderqueer, or gender non-conforming",No,Bisexual;Queer,White,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",No,,
59510,4 Bachelorï¿½ï,180,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Bootstrapping a business,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague;Hackathons (virtual or in-person)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Interactive tutorial",Udemy,12,8,"Developer, full-stack;Engineering manager;Blockchain",100 to 499 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",180000,Yearly,Bash/Shell;C#;Go;HTML/CSS;JavaScript;PowerShell;TypeScript,Bash/Shell;C#;HTML/CSS;JavaScript;Solidity;TypeScript,MongoDB,MongoDB,Microsoft Azure,AWS,ASP.NET Core ;Gatsby;React.js,Gatsby;Next.js;Node.js;React.js,.NET;React Native,.NET,Docker;Kubernetes;npm;Yarn,Docker;Kubernetes;npm;Terraform;Unity 3D;Yarn,Visual Studio Code,Visual Studio Code,macOS,macOS,Git,Code editor;Command-line,,,Notion;Trello,Notion;Trello,Microsoft Teams,,Very favorable,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,People manager,8
59516,2 College study,150,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification","Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded)",Pluralsight,25,22,"Developer, front-end;Developer, full-stack;Developer, back-end","5,000 to 9,999 employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",150000,Yearly,C#;HTML/CSS;JavaScript;SQL;TypeScript,,Elasticsearch;Microsoft SQL Server;Redis,,Microsoft Azure,,Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Node.js;React.js,,.NET,,npm,,Notepad++;Visual Studio;Visual Studio Code,,,Windows,Git,Version control hosting service web GUI;Dedicated version control GUI application,,,Confluence,,Cisco Webex Teams;Microsoft Teams,,Indifferent,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,22
59518,4 Bachelorï¿½ï,125,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc)",,,16,12,"Developer, desktop or enterprise applications;Database administrator;Data or business analyst","1,000 to 4,999 employees",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,United States of America,"USD	United States dollar",125000,Yearly,R;SQL;VBA,R;SQL;VBA,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,Microsoft Azure,,,.NET,.NET,Docker;Kubernetes,Docker;Kubernetes,Notepad++;RStudio;Visual Studio Code,Notepad++;RStudio;Visual Studio Code,Linux-based;Windows,macOS;Windows,Git,Code editor;Version control hosting service web GUI;Dedicated version control GUI application,,,Airtable,,Microsoft Teams;RingCentral;Zoom,Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
59522,4 Bachelorï¿½ï,77,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Contribute to open-source projects,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;School (i.e., University, College, etc)",,,10,3,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics",20 to 99 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",77000,Yearly,C;C#;C++;Python,C;C#;Python,,,,,,,.NET,.NET,Docker,Docker;Kubernetes,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Linux-based,Git,Command-line;Dedicated version control GUI application,,,Jira Work Management,,Microsoft Teams,Slack,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,3
59524,5 Masterï¿½ï,150,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;School (i.e., University, College, etc);On the job training",,,32,28,"Developer, full-stack;Developer, back-end;Academic researcher",20 to 99 employees,I have some influence,Other (please specify):;Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",150000,Yearly,Bash/Shell;JavaScript;LISP;Python;SQL,JavaScript;LISP;Python;SQL,DynamoDB;Elasticsearch;PostgreSQL,DynamoDB;Elasticsearch;PostgreSQL,AWS;VMware,AWS,Express;Node.js;React.js,,NumPy;Pandas,NumPy;Pandas,Docker;Homebrew;Kubernetes;npm,Docker;Homebrew;Kubernetes;npm,Emacs;IPython/Jupyter,Emacs;IPython/Jupyter,Linux-based;macOS,macOS,Git,Code editor;Command-line,,,Confluence;Jira Work Management;Trello,Trello,Cisco Webex Teams;Google Chat;Microsoft Teams;Slack;Zoom,Slack,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",45-54 years old,Man,No,Gay or Lesbian;Queer,White,None of the above,None of the above,No,,
59525,4 Bachelorï¿½ï,135,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;School (i.e., University, College, etc)",,,40,35,"Developer, desktop or enterprise applications;Database administrator;Project manager;Designer;Product manager",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",135000,Yearly,Delphi;SQL,Delphi;SQL,Cloud Firestore;Microsoft SQL Server,Cloud Firestore;Microsoft SQL Server,Microsoft Azure,Microsoft Azure,,,,,,,"RAD Studio (Delphi, C++ Builder)","RAD Studio (Delphi, C++ Builder)",Windows,Windows,Git,Dedicated version control GUI application,,,,,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow,A few times per week,No,,Neutral,55-64 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,
59526,4 Bachelorï¿½ï,120,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum;Other (Please specify):",,14,Less than 1 year,"Developer, front-end;Developer, full-stack",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",120000,Yearly,APL;C;Clojure;MATLAB;Python,APL;Haskell,,,AWS,,,,NumPy,,,,IntelliJ;Notepad++;Vim,,macOS,Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,,,Slack;Zoom,,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",18-24 years old,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,None of the above,None of the above,Yes,Independent contributor,1
59531,4 Bachelorï¿½ï,144,I am a developer by profession,"Employed, full-time",Fully remote,Freelance/contract work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Stack Overflow;Online books;Online forum,,26,22,"Developer, front-end;Developer, full-stack;Developer, back-end",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",144000,Yearly,C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,AWS;Google Cloud;Microsoft Azure,AWS;Google Cloud;Microsoft Azure,Angular.js;ASP.NET;ASP.NET Core ;Node.js;React.js,ASP.NET Core ;Node.js;React.js,,,Yarn,Yarn,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,macOS;Windows,macOS;Windows,Git,Version control hosting service web GUI;Dedicated version control GUI application,,,Asana,Asana,Microsoft Teams;Slack,Microsoft Teams;Slack,Very unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",,,,,,,,Yes,Independent contributor,22
