,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
492,No account,6,critical account/other credits existing (not at this bank),radio/television,1237,100-500,1-4 yrs,1,none,1,savings agreement/life insurance,27,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
493,0-200,6,existing credits paid back duly till now,radio/television,368,unknown/no savings account,>7 yrs,4,none,4,savings agreement/life insurance,38,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
494,<0,12,critical account/other credits existing (not at this bank),car (new),2122,<100,1-4 yrs,3,none,2,real estate,39,none,own,2,unskilled - resident,2,none,no,good,single,male,2,1
495,<0,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/no savings account,1-4 yrs,2,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,bad,married/widowed,male,2,0
496,0-200,36,existing credits paid back duly till now,furniture/equipment,9034,100-500,<1 yr,4,co-applicant,1,unknown/no property,29,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,1,0
497,No account,24,critical account/other credits existing (not at this bank),furniture/equipment,1585,<100,4-7 yrs,4,none,3,savings agreement/life insurance,40,none,rent,2,skilled employee / official,1,none,yes,good,single,male,3,1
498,0-200,18,existing credits paid back duly till now,radio/television,1301,<100,>7 yrs,4,guarantor,2,real estate,32,none,rent,1,unskilled - resident,1,none,yes,good,married/widowed,male,4,1
499,>=200,6,critical account/other credits existing (not at this bank),car (new),1323,100-500,>7 yrs,2,none,4,car or other,28,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,divorced/separated,male,4,1
500,<0,24,existing credits paid back duly till now,car (new),3123,<100,<1 yr,4,none,1,savings agreement/life insurance,27,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
501,<0,36,existing credits paid back duly till now,car (used),5493,<100,>7 yrs,2,none,4,unknown/no property,42,none,free,1,skilled employee / official,2,none,yes,good,single,male,4,1
502,>=200,9,existing credits paid back duly till now,radio/television,1126,100-500,>7 yrs,2,none,4,real estate,49,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated,male,4,1
503,0-200,24,critical account/other credits existing (not at this bank),radio/television,1216,100-500,<1 yr,4,none,4,unknown/no property,38,bank,rent,2,skilled employee / official,2,none,yes,bad,single,male,1,0
504,<0,24,existing credits paid back duly till now,car (new),1207,<100,<1 yr,4,none,4,savings agreement/life insurance,24,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
505,No account,10,existing credits paid back duly till now,car (new),1309,unknown/no savings account,1-4 yrs,4,guarantor,4,savings agreement/life insurance,27,none,rent,1,unskilled - resident,1,none,yes,bad,single,male,2,0
506,>=200,15,critical account/other credits existing (not at this bank),car (used),2360,500-1000,1-4 yrs,2,none,2,car or other,36,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
507,0-200,15,all credits at this bank paid back duly,car (new),6850,100-500,unemployed,1,none,2,savings agreement/life insurance,34,none,rent,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered",yes,bad,single,male,0,0
508,No account,24,existing credits paid back duly till now,radio/television,1413,<100,1-4 yrs,4,none,2,savings agreement/life insurance,28,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
509,No account,39,existing credits paid back duly till now,car (used),8588,100-500,>7 yrs,4,none,2,car or other,45,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
510,<0,12,existing credits paid back duly till now,car (new),759,<100,4-7 yrs,4,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,3,0
511,No account,36,existing credits paid back duly till now,car (used),4686,<100,1-4 yrs,2,none,2,unknown/no property,32,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,2,1
512,>=200,15,existing credits paid back duly till now,business,2687,<100,4-7 yrs,2,none,4,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
513,0-200,12,delay in paying off in the past,radio/television,585,<100,1-4 yrs,4,co-applicant,4,real estate,20,none,own,2,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
514,No account,24,existing credits paid back duly till now,car (new),2255,unknown/no savings account,<1 yr,4,none,1,savings agreement/life insurance,54,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
515,<0,6,critical account/other credits existing (not at this bank),car (new),609,<100,4-7 yrs,4,none,3,savings agreement/life insurance,37,none,rent,2,skilled employee / official,1,none,no,good,divorced/separated/married,female,3,1
516,<0,6,critical account/other credits existing (not at this bank),car (new),1361,<100,<1 yr,2,none,4,real estate,40,none,rent,1,unskilled - resident,2,none,no,good,single,male,1,1
517,No account,36,critical account/other credits existing (not at this bank),furniture/equipment,7127,<100,<1 yr,2,none,4,savings agreement/life insurance,23,none,own,2,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
518,<0,6,existing credits paid back duly till now,car (new),1203,100-500,>7 yrs,3,none,2,savings agreement/life insurance,43,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
519,No account,6,critical account/other credits existing (not at this bank),radio/television,700,unknown/no savings account,>7 yrs,4,none,4,unknown/no property,36,none,free,2,skilled employee / official,1,none,yes,good,single,male,4,1
520,No account,24,critical account/other credits existing (not at this bank),repairs,5507,<100,>7 yrs,3,none,4,unknown/no property,44,none,free,2,skilled employee / official,1,none,yes,good,single,male,4,1
521,<0,18,existing credits paid back duly till now,radio/television,3190,<100,1-4 yrs,2,none,2,real estate,24,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
522,<0,48,no credits taken / paid back duly,furniture/equipment,7119,<100,1-4 yrs,3,none,4,unknown/no property,53,none,free,2,skilled employee / official,2,none,yes,bad,single,male,2,0
523,No account,24,existing credits paid back duly till now,car (used),3488,100-500,4-7 yrs,3,none,4,car or other,23,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
524,0-200,18,existing credits paid back duly till now,radio/television,1113,<100,1-4 yrs,4,guarantor,4,real estate,26,none,rent,1,unskilled - resident,2,none,yes,good,divorced/separated/married,female,2,1
525,0-200,26,existing credits paid back duly till now,car (used),7966,<100,<1 yr,2,none,3,car or other,30,none,rent,2,skilled employee / official,1,none,yes,good,single,male,1,1
526,No account,15,critical account/other credits existing (not at this bank),education,1532,100-500,1-4 yrs,4,none,3,car or other,31,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
527,No account,4,critical account/other credits existing (not at this bank),radio/television,1503,<100,4-7 yrs,2,none,1,real estate,42,none,rent,2,unskilled - resident,2,none,yes,good,single,male,3,1
528,<0,36,existing credits paid back duly till now,radio/television,2302,<100,1-4 yrs,4,none,4,car or other,31,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated,male,2,0
529,<0,6,existing credits paid back duly till now,car (new),662,<100,<1 yr,3,none,4,real estate,41,none,rent,1,unskilled - resident,2,"yes, registered",yes,good,single,male,1,1
530,0-200,36,existing credits paid back duly till now,education,2273,<100,4-7 yrs,3,none,1,car or other,32,none,rent,2,skilled employee / official,2,none,yes,good,single,male,3,1
531,0-200,15,existing credits paid back duly till now,car (new),2631,100-500,1-4 yrs,2,none,4,car or other,28,none,own,2,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
532,No account,12,delay in paying off in the past,car (used),1503,<100,1-4 yrs,4,none,4,real estate,41,none,own,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
533,No account,24,existing credits paid back duly till now,radio/television,1311,100-500,4-7 yrs,4,none,3,savings agreement/life insurance,26,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,3,1
534,No account,24,existing credits paid back duly till now,radio/television,3105,unknown/no savings account,<1 yr,4,none,2,car or other,25,none,rent,2,skilled employee / official,1,none,yes,good,single,male,1,1
535,>=200,21,critical account/other credits existing (not at this bank),education,2319,<100,<1 yr,2,none,1,car or other,33,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated,male,1,0
536,<0,6,existing credits paid back duly till now,car (new),1374,unknown/no savings account,unemployed,4,none,3,savings agreement/life insurance,75,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,0,1
537,0-200,18,critical account/other credits existing (not at this bank),furniture/equipment,3612,<100,>7 yrs,3,none,4,savings agreement/life insurance,37,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
538,<0,48,existing credits paid back duly till now,car (new),7763,<100,>7 yrs,4,none,4,unknown/no property,42,bank,free,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,bad,single,male,4,0
539,>=200,18,existing credits paid back duly till now,furniture/equipment,3049,<100,<1 yr,1,none,1,savings agreement/life insurance,45,stores,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,1,1
540,0-200,12,existing credits paid back duly till now,radio/television,1534,<100,<1 yr,1,none,1,real estate,23,none,own,1,skilled employee / official,1,none,yes,bad,married/widowed,male,1,0
541,No account,24,delay in paying off in the past,car (new),2032,<100,>7 yrs,4,none,4,unknown/no property,60,none,free,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
542,<0,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/no savings account,>7 yrs,4,none,4,savings agreement/life insurance,31,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,4,0
543,>=200,18,existing credits paid back duly till now,furniture/equipment,2864,<100,1-4 yrs,2,none,1,real estate,34,none,rent,1,unskilled - resident,2,none,yes,bad,single,male,2,0
544,No account,12,critical account/other credits existing (not at this bank),car (new),1255,<100,>7 yrs,4,none,4,real estate,61,none,rent,2,unskilled - resident,1,none,yes,good,single,male,4,1
545,<0,24,delay in paying off in the past,car (new),1333,<100,unemployed,4,none,2,real estate,43,none,free,2,skilled employee / official,2,none,yes,bad,single,male,0,0
546,No account,24,critical account/other credits existing (not at this bank),car (new),2022,<100,1-4 yrs,4,none,4,car or other,37,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
547,No account,24,existing credits paid back duly till now,radio/television,1552,<100,4-7 yrs,3,none,1,car or other,32,bank,rent,1,skilled employee / official,2,none,yes,good,single,male,3,1
548,<0,12,all credits at this bank paid back duly,radio/television,626,<100,1-4 yrs,4,none,4,real estate,24,bank,rent,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,2,0
549,No account,48,critical account/other credits existing (not at this bank),car (used),8858,unknown/no savings account,4-7 yrs,2,none,1,unknown/no property,35,none,free,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
550,No account,12,critical account/other credits existing (not at this bank),repairs,996,unknown/no savings account,4-7 yrs,4,none,4,real estate,23,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
551,No account,6,all credits at this bank paid back duly,radio/television,1750,500-1000,>7 yrs,2,none,4,savings agreement/life insurance,45,bank,rent,1,unskilled - resident,2,none,yes,good,single,male,4,1
552,<0,48,existing credits paid back duly till now,radio/television,6999,<100,4-7 yrs,1,guarantor,1,real estate,34,none,rent,2,skilled employee / official,1,"yes, registered",yes,bad,married/widowed,male,3,0
553,0-200,12,critical account/other credits existing (not at this bank),car (new),1995,100-500,<1 yr,4,none,1,car or other,27,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
554,0-200,9,existing credits paid back duly till now,education,1199,<100,4-7 yrs,4,none,4,savings agreement/life insurance,67,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
555,0-200,12,existing credits paid back duly till now,radio/television,1331,<100,<1 yr,2,none,1,car or other,22,stores,rent,1,skilled employee / official,1,none,yes,bad,single,male,1,0
556,0-200,18,no credits taken / paid back duly,car (new),2278,100-500,<1 yr,3,none,3,car or other,28,none,rent,2,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
557,No account,21,no credits taken / paid back duly,car (new),5003,unknown/no savings account,1-4 yrs,1,none,4,savings agreement/life insurance,29,bank,rent,2,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
558,<0,24,all credits at this bank paid back duly,furniture/equipment,3552,<100,4-7 yrs,3,none,4,car or other,27,bank,rent,1,skilled employee / official,1,none,yes,bad,single,male,3,0
559,0-200,18,critical account/other credits existing (not at this bank),furniture/equipment,1928,<100,<1 yr,2,none,2,real estate,31,none,rent,2,unskilled - resident,1,none,yes,bad,single,male,1,0
560,<0,24,existing credits paid back duly till now,car (used),2964,unknown/no savings account,>7 yrs,4,none,4,unknown/no property,49,bank,free,1,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
561,<0,24,all credits at this bank paid back duly,radio/television,1546,<100,4-7 yrs,4,guarantor,4,car or other,24,bank,own,1,unskilled - resident,1,none,yes,bad,single,male,3,0
562,>=200,6,delay in paying off in the past,radio/television,683,<100,<1 yr,2,none,1,savings agreement/life insurance,29,bank,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
563,0-200,36,existing credits paid back duly till now,car (new),12389,unknown/no savings account,1-4 yrs,1,none,4,unknown/no property,37,none,free,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,2,0
564,0-200,24,delay in paying off in the past,business,4712,unknown/no savings account,1-4 yrs,4,none,2,savings agreement/life insurance,37,bank,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,2,1
565,0-200,24,delay in paying off in the past,radio/television,1553,100-500,4-7 yrs,3,none,2,savings agreement/life insurance,23,none,own,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
566,<0,12,existing credits paid back duly till now,car (new),1372,<100,4-7 yrs,2,none,3,car or other,36,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated,male,3,0
567,No account,24,critical account/other credits existing (not at this bank),radio/television,2578,>=1000,>7 yrs,2,none,2,car or other,34,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
568,0-200,48,existing credits paid back duly till now,radio/television,3979,unknown/no savings account,4-7 yrs,4,none,1,car or other,41,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,3,1
569,<0,48,existing credits paid back duly till now,radio/television,6758,<100,1-4 yrs,3,none,2,car or other,31,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
570,<0,24,existing credits paid back duly till now,furniture/equipment,3234,<100,<1 yr,4,none,4,real estate,23,none,own,1,unskilled - resident,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
571,No account,30,critical account/other credits existing (not at this bank),radio/television,5954,<100,4-7 yrs,3,co-applicant,2,car or other,38,none,rent,1,skilled employee / official,1,none,yes,good,single,male,3,1
572,No account,24,existing credits paid back duly till now,car (used),5433,unknown/no savings account,unemployed,2,none,4,savings agreement/life insurance,26,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,0,1
573,<0,15,existing credits paid back duly till now,business,806,<100,1-4 yrs,4,none,4,savings agreement/life insurance,22,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
574,0-200,9,existing credits paid back duly till now,radio/television,1082,<100,>7 yrs,4,none,4,car or other,27,none,rent,2,unskilled - resident,1,none,yes,good,single,male,4,1
575,No account,15,critical account/other credits existing (not at this bank),furniture/equipment,2788,<100,4-7 yrs,2,co-applicant,3,car or other,24,bank,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
576,0-200,12,existing credits paid back duly till now,radio/television,2930,<100,4-7 yrs,2,none,1,real estate,27,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
577,No account,24,critical account/other credits existing (not at this bank),education,1927,unknown/no savings account,1-4 yrs,3,none,2,car or other,33,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
578,0-200,36,critical account/other credits existing (not at this bank),car (new),2820,<100,<1 yr,4,none,4,car or other,27,none,rent,2,skilled employee / official,1,none,yes,bad,divorced/separated,male,1,0
579,No account,24,existing credits paid back duly till now,retraining,937,<100,<1 yr,4,none,3,car or other,27,none,rent,2,unskilled - resident,1,none,yes,good,married/widowed,male,1,1
580,0-200,18,critical account/other credits existing (not at this bank),car (new),1056,<100,>7 yrs,3,guarantor,3,real estate,30,bank,rent,2,skilled employee / official,1,none,yes,bad,single,male,4,0
581,0-200,12,critical account/other credits existing (not at this bank),car (new),3124,<100,<1 yr,1,none,3,real estate,49,bank,rent,2,unskilled - resident,2,none,yes,good,single,male,1,1
582,No account,9,existing credits paid back duly till now,furniture/equipment,1388,<100,1-4 yrs,4,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
583,0-200,36,existing credits paid back duly till now,repairs,2384,<100,<1 yr,4,none,1,unknown/no property,33,none,own,1,unskilled - resident,1,none,yes,bad,single,male,1,0
584,No account,12,existing credits paid back duly till now,car (new),2133,unknown/no savings account,>7 yrs,4,none,4,unknown/no property,52,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
585,<0,18,existing credits paid back duly till now,furniture/equipment,2039,<100,1-4 yrs,1,none,4,real estate,20,bank,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
586,<0,9,critical account/other credits existing (not at this bank),car (new),2799,<100,1-4 yrs,2,none,2,real estate,36,none,own,2,skilled employee / official,2,none,yes,good,single,male,2,1
587,<0,12,existing credits paid back duly till now,furniture/equipment,1289,<100,1-4 yrs,4,guarantor,1,savings agreement/life insurance,21,none,rent,1,unskilled - resident,1,none,yes,good,single,male,2,1
588,<0,18,existing credits paid back duly till now,domestic appliances,1217,<100,1-4 yrs,4,none,3,real estate,47,none,rent,1,unskilled - resident,1,"yes, registered",yes,bad,married/widowed,male,2,0
589,<0,12,critical account/other credits existing (not at this bank),furniture/equipment,2246,<100,>7 yrs,3,none,3,savings agreement/life insurance,60,none,rent,2,skilled employee / official,1,none,yes,bad,single,male,4,0
590,<0,12,critical account/other credits existing (not at this bank),radio/television,385,<100,4-7 yrs,4,none,3,real estate,58,none,rent,4,unskilled - resident,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
591,0-200,24,delay in paying off in the past,car (new),1965,unknown/no savings account,1-4 yrs,4,none,4,car or other,42,none,own,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
592,No account,21,existing credits paid back duly till now,business,1572,>=1000,>7 yrs,4,none,4,real estate,36,bank,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,4,1
593,0-200,24,existing credits paid back duly till now,car (new),2718,<100,1-4 yrs,3,none,4,savings agreement/life insurance,20,none,own,1,unskilled - resident,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
594,<0,24,all credits at this bank paid back duly,others,1358,unknown/no savings account,>7 yrs,4,none,3,car or other,40,stores,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,4,0
595,0-200,6,all credits at this bank paid back duly,car (new),931,100-500,<1 yr,1,none,1,savings agreement/life insurance,32,stores,rent,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,1,0
596,<0,24,existing credits paid back duly till now,car (new),1442,<100,4-7 yrs,4,none,4,car or other,23,none,own,2,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,3,0
597,0-200,24,no credits taken / paid back duly,business,4241,<100,1-4 yrs,1,none,4,real estate,36,none,rent,3,unskilled - resident,1,"yes, registered",yes,bad,single,male,2,0
598,No account,18,critical account/other credits existing (not at this bank),car (new),2775,<100,4-7 yrs,2,none,2,savings agreement/life insurance,31,bank,rent,2,skilled employee / official,1,none,yes,bad,single,male,3,0
599,No account,24,delay in paying off in the past,business,3863,<100,1-4 yrs,1,none,2,unknown/no property,32,none,free,1,skilled employee / official,1,none,yes,good,single,male,2,1
600,0-200,7,existing credits paid back duly till now,radio/television,2329,<100,<1 yr,1,guarantor,1,real estate,45,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
601,0-200,9,existing credits paid back duly till now,furniture/equipment,918,<100,1-4 yrs,4,none,1,savings agreement/life insurance,30,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
602,0-200,24,all credits at this bank paid back duly,education,1837,<100,4-7 yrs,4,none,4,unknown/no property,34,bank,free,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,3,0
603,No account,36,existing credits paid back duly till now,furniture/equipment,3349,<100,1-4 yrs,4,none,2,car or other,28,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
604,>=200,10,existing credits paid back duly till now,furniture/equipment,1275,<100,<1 yr,4,none,2,savings agreement/life insurance,23,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
605,<0,24,all credits at this bank paid back duly,furniture/equipment,2828,500-1000,1-4 yrs,4,none,4,real estate,22,stores,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
606,No account,24,critical account/other credits existing (not at this bank),business,4526,<100,1-4 yrs,3,none,2,real estate,74,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,2,1
607,0-200,36,existing credits paid back duly till now,radio/television,2671,100-500,1-4 yrs,4,co-applicant,4,unknown/no property,50,none,free,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
608,No account,18,existing credits paid back duly till now,radio/television,2051,<100,<1 yr,4,none,1,real estate,33,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
609,No account,15,existing credits paid back duly till now,car (used),1300,unknown/no savings account,>7 yrs,4,none,4,unknown/no property,45,bank,free,1,skilled employee / official,2,none,yes,good,single,male,4,1
610,<0,12,existing credits paid back duly till now,domestic appliances,741,100-500,unemployed,4,none,3,savings agreement/life insurance,22,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,0,0
611,>=200,10,existing credits paid back duly till now,car (new),1240,100-500,>7 yrs,1,none,4,unknown/no property,48,none,free,1,unskilled - resident,2,none,yes,bad,divorced/separated/married,female,4,0
612,<0,21,existing credits paid back duly till now,radio/television,3357,>=1000,<1 yr,4,none,2,car or other,29,bank,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
613,<0,24,all credits at this bank paid back duly,car (used),3632,<100,1-4 yrs,1,guarantor,4,car or other,22,bank,own,1,skilled employee / official,1,none,no,good,divorced/separated/married,female,2,1
614,No account,18,delay in paying off in the past,furniture/equipment,1808,<100,4-7 yrs,4,none,1,real estate,22,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,3,0
615,0-200,48,no credits taken / paid back duly,business,12204,unknown/no savings account,1-4 yrs,2,none,2,car or other,48,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,2,1
616,0-200,60,delay in paying off in the past,radio/television,9157,unknown/no savings account,1-4 yrs,2,none,2,unknown/no property,27,none,free,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,single,male,2,1
617,<0,6,critical account/other credits existing (not at this bank),car (new),3676,<100,1-4 yrs,1,none,3,real estate,37,none,own,3,skilled employee / official,2,none,yes,good,single,male,2,1
618,0-200,30,existing credits paid back duly till now,furniture/equipment,3441,100-500,1-4 yrs,2,co-applicant,4,car or other,21,none,own,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
619,No account,12,existing credits paid back duly till now,car (new),640,<100,1-4 yrs,4,none,2,real estate,49,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated,male,2,1
620,0-200,21,critical account/other credits existing (not at this bank),business,3652,<100,4-7 yrs,2,none,3,savings agreement/life insurance,27,none,rent,2,skilled employee / official,1,none,yes,good,single,male,3,1
621,No account,18,critical account/other credits existing (not at this bank),car (new),1530,<100,1-4 yrs,3,none,2,savings agreement/life insurance,32,bank,rent,2,skilled employee / official,1,none,yes,bad,single,male,2,0
622,No account,48,existing credits paid back duly till now,business,3914,unknown/no savings account,1-4 yrs,4,none,2,real estate,38,bank,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated,male,2,0
623,<0,12,existing credits paid back duly till now,furniture/equipment,1858,<100,<1 yr,4,none,1,car or other,22,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
624,<0,18,existing credits paid back duly till now,radio/television,2600,<100,1-4 yrs,4,none,4,unknown/no property,65,none,free,2,skilled employee / official,1,none,yes,bad,single,male,2,0
625,No account,15,existing credits paid back duly till now,radio/television,1979,unknown/no savings account,>7 yrs,4,none,2,car or other,35,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
626,>=200,6,existing credits paid back duly till now,furniture/equipment,2116,<100,1-4 yrs,2,none,2,real estate,41,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
627,0-200,9,all credits at this bank paid back duly,car (new),1437,100-500,4-7 yrs,2,none,3,unknown/no property,29,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,3,0
628,No account,42,critical account/other credits existing (not at this bank),furniture/equipment,4042,500-1000,1-4 yrs,4,none,4,real estate,36,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
629,No account,9,existing credits paid back duly till now,education,3832,unknown/no savings account,>7 yrs,1,none,4,real estate,64,none,rent,1,unskilled - resident,1,none,yes,good,single,male,4,1
630,<0,24,existing credits paid back duly till now,radio/television,3660,<100,1-4 yrs,2,none,4,car or other,28,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
631,<0,18,all credits at this bank paid back duly,furniture/equipment,1553,<100,1-4 yrs,4,none,3,car or other,44,bank,rent,1,skilled employee / official,1,none,yes,bad,single,male,2,0
632,0-200,15,existing credits paid back duly till now,radio/television,1444,unknown/no savings account,<1 yr,4,none,1,savings agreement/life insurance,23,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
633,No account,9,existing credits paid back duly till now,furniture/equipment,1980,<100,<1 yr,2,co-applicant,2,car or other,19,none,own,2,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,1,0
634,0-200,24,existing credits paid back duly till now,car (new),1355,<100,<1 yr,3,none,4,car or other,25,none,rent,1,unskilled - resident,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
635,No account,12,existing credits paid back duly till now,education,1393,<100,>7 yrs,4,none,4,savings agreement/life insurance,47,bank,rent,3,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
636,No account,24,existing credits paid back duly till now,radio/television,1376,500-1000,4-7 yrs,4,none,1,car or other,28,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
637,No account,60,delay in paying off in the past,radio/television,15653,<100,4-7 yrs,2,none,4,car or other,21,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
638,No account,12,existing credits paid back duly till now,radio/television,1493,<100,<1 yr,4,none,3,car or other,34,none,rent,1,skilled employee / official,2,none,yes,good,divorced/separated/married,female,1,1
639,<0,42,delay in paying off in the past,radio/television,4370,<100,4-7 yrs,3,none,2,savings agreement/life insurance,26,bank,rent,2,skilled employee / official,2,"yes, registered",yes,bad,single,male,3,0
640,<0,18,existing credits paid back duly till now,education,750,<100,unemployed,4,none,1,real estate,27,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,bad,divorced/separated/married,female,0,0
641,0-200,15,existing credits paid back duly till now,repairs,1308,<100,>7 yrs,4,none,4,car or other,38,none,rent,2,unskilled - resident,1,none,yes,good,single,male,4,1
